t,AE
2.15e-05,0.0325318908691406
2.16e-05,0.0137281799316406
2.17e-05,0.00509124755859375
2.18e-05,0.00456207275390625
2.19e-05,0.0038311767578125
2.2e-05,-0.0010345458984375
2.21e-05,-0.0112586975097656
2.22e-05,-0.0209733581542969
2.23e-05,-0.0213792419433594
2.24e-05,-0.0135435485839844
2.25e-05,-0.00523590087890625
2.26e-05,-0.00605026245117187
2.27e-05,-0.0257984924316406
2.28e-05,-0.0612434387207031
2.29e-05,-0.0987832641601562
2.3e-05,-0.125911407470703
2.31e-05,-0.131642150878906
2.32e-05,-0.1140771484375
2.33e-05,-0.0812417602539063
2.34e-05,-0.0403300476074219
2.35e-05,0.000971221923828125
2.36e-05,0.0356112670898438
2.37e-05,0.0616236877441406
2.38e-05,0.0756877136230469
2.39e-05,0.0741130065917969
2.4e-05,0.0575215148925781
2.41e-05,0.0276750183105469
2.42e-05,-0.0109736633300781
2.43e-05,-0.0507820129394531
2.44e-05,-0.0860520935058594
2.45e-05,-0.111617431640625
2.46e-05,-0.124854736328125
2.47e-05,-0.126429138183594
2.48e-05,-0.116509094238281
2.49e-05,-0.0969924926757812
2.5e-05,-0.0702403259277344
2.51e-05,-0.036832275390625
2.52e-05,0.000696868896484375
2.53e-05,0.0401860046386719
2.54e-05,0.0813755798339844
2.55e-05,0.122363891601562
2.56e-05,0.161280059814453
2.57e-05,0.196906127929688
2.58e-05,0.22560302734375
2.59e-05,0.243867492675781
2.6e-05,0.248124847412109
2.61e-05,0.235883483886719
2.62e-05,0.208416900634766
2.63e-05,0.169738464355469
2.64e-05,0.125375671386719
2.65e-05,0.0814263916015625
2.66e-05,0.041754150390625
2.67e-05,0.00766128540039062
2.68e-05,-0.019857177734375
2.69e-05,-0.0406985473632812
2.7e-05,-0.0551080322265625
2.71e-05,-0.06337646484375
2.72e-05,-0.0665956115722656
2.73e-05,-0.0668577575683594
2.74e-05,-0.0665242004394531
2.75e-05,-0.0673649597167969
2.76e-05,-0.0700575256347656
2.77e-05,-0.0739784240722656
2.78e-05,-0.0766119384765625
2.79e-05,-0.0749934387207031
2.8e-05,-0.0675361633300781
2.81e-05,-0.0545132446289062
2.82e-05,-0.0388641357421875
2.83e-05,-0.0252853393554687
2.84e-05,-0.0182240295410156
2.85e-05,-0.0201936340332031
2.86e-05,-0.0311489868164063
2.87e-05,-0.0496884155273438
2.88e-05,-0.0721405029296875
2.89e-05,-0.0940797424316406
2.9e-05,-0.112223815917969
2.91e-05,-0.123038177490234
2.92e-05,-0.124303131103516
2.93e-05,-0.116363830566406
2.94e-05,-0.100119781494141
2.95e-05,-0.0778768920898437
2.96e-05,-0.0536711120605469
2.97e-05,-0.0306690979003906
2.98e-05,-0.011839599609375
2.99e-05,0.00095672607421875
3e-05,0.00799652099609375
3.01e-05,0.0100907897949219
3.02e-05,0.0085430908203125
3.03e-05,0.00631088256835937
3.04e-05,0.0060595703125
3.05e-05,0.00968719482421875
3.06e-05,0.0188847351074219
3.07e-05,0.0336888122558594
3.08e-05,0.0524189758300781
3.09e-05,0.0724954223632813
3.1e-05,0.0901995849609375
3.11e-05,0.101610107421875
3.12e-05,0.104456176757813
3.13e-05,0.0992840576171875
3.14e-05,0.0908203125
3.15e-05,0.0864414978027344
3.16e-05,0.095281982421875
3.17e-05,0.126446990966797
3.18e-05,0.185639190673828
3.19e-05,0.272658996582031
3.2e-05,0.377024383544922
3.21e-05,0.477662200927734
3.22e-05,0.546756134033203
3.23e-05,0.559349060058594
3.24e-05,0.502030181884766
3.25e-05,0.379495544433594
3.26e-05,0.213405609130859
3.27e-05,0.033558349609375
3.28e-05,-0.132347564697266
3.29e-05,-0.263511505126953
3.3e-05,-0.351361846923828
3.31e-05,-0.397799987792969
3.32e-05,-0.409199523925781
3.33e-05,-0.393791198730469
3.34e-05,-0.360110168457031
3.35e-05,-0.316278839111328
3.36e-05,-0.271097717285156
3.37e-05,-0.233104400634766
3.38e-05,-0.208448028564453
3.39e-05,-0.199694519042969
3.4e-05,-0.204883270263672
3.41e-05,-0.217416534423828
3.42e-05,-0.228523254394531
3.43e-05,-0.229025268554687
3.44e-05,-0.212129516601563
3.45e-05,-0.174292755126953
3.46e-05,-0.116792297363281
3.47e-05,-0.04518798828125
3.48e-05,0.0318540954589844
3.49e-05,0.105033111572266
3.5e-05,0.165915832519531
3.51e-05,0.208703460693359
3.52e-05,0.229114990234375
3.53e-05,0.225027923583984
3.54e-05,0.197115020751953
3.55e-05,0.148855438232422
3.56e-05,0.0868983459472656
3.57e-05,0.0201139831542969
3.58e-05,-0.0428404235839844
3.59e-05,-0.0966952514648438
3.6e-05,-0.139005737304687
3.61e-05,-0.17066650390625
3.62e-05,-0.19513916015625
3.63e-05,-0.215160369873047
3.64e-05,-0.231101379394531
3.65e-05,-0.240714721679687
3.66e-05,-0.240818481445313
3.67e-05,-0.229317779541016
3.68e-05,-0.207361602783203
3.69e-05,-0.178199005126953
3.7e-05,-0.146286468505859
3.71e-05,-0.115231323242188
3.72e-05,-0.0857861328125
3.73e-05,-0.0568739318847656
3.74e-05,-0.0276811218261719
3.75e-05,0.00363815307617188
3.76e-05,0.0386410522460938
3.77e-05,0.0772889709472656
3.78e-05,0.118265838623047
3.79e-05,0.158678894042969
3.8e-05,0.194783935546875
3.81e-05,0.223489074707031
3.82e-05,0.243343505859375
